metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
GDP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64718.14003	45485.26356	61533.9082	0.0	0.0	0.0	43507.0672	35831.82135	29979.25112
GDP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMP_m+0	3368210.869	3276096.126	3115935.634	1190222.166	945916.6493	894268.9493	6024586.628	7456428.06	8346315.642	414130.9146	273890.2303	311422.6571	2188316.758	2400297.29	2520108.655	2594413.783	2615679.949	1872319.126
GMP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMP_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	146745.424	156567.197	152310.2778	0.0	0.0	0.0	15010.6052	15518.72403	17330.45278	0.0	0.0	0.0
GMP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	149030.7767	131172.9617	140862.8601	14317.99257	6732.384925	11070.70501	23376.90568	24154.94279	24739.33175	77308.52777	60958.79909	46608.41772
GMP_m+5	17909.31157	15422.12797	15391.04067	23091.76765	22657.49754	22886.31044	3887118.421	3586200.99	3588243.251	624652.9214	365245.5532	492349.9578	560609.2606	660760.9323	643657.6503	2518068.491	2246028.201	1658121.455
GMP_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38150.79766	20345.15121	32194.70847	0.0	0.0	0.0	131288.2838	128748.079	79124.10086
GMP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTP_m+0	6758794.74	6372931.298	7673830.794	14190721.79	8084544.405	13437577.5	1035537.934	1582874.72	1239903.586	3356444.178	1938700.31	2874188.678	105457.5103	74579.63659	52263.40406	1551163.26	963431.6682	729922.6521
GTP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTP_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	6271.60661	8656.623943	4345.930998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	36935.16931	48373.59497	34935.19422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTP_m+4	0.0	0.0	0.0	17996.61584	5031.999111	17062.34141	38370.96034	53697.0407	42130.06427	166874.2257	100817.2701	142915.9406	5737.010275	0.0	0.0	78306.04647	53918.22177	44722.14067
GTP_m+5	41433.32208	34831.91657	60161.12748	498944.8885	237638.8365	524790.5798	959100.0386	1387174.805	970647.7121	6020287.695	3905441.377	5259799.496	223720.5376	133657.7176	123588.1713	2694173.394	1725896.407	1533200.763
GTP_m+6	0.0	0.0	0.0	25194.70478	18370.0417	19707.16279	0.0	0.0	0.0	557359.4272	220146.9737	445445.9018	5114.207263	0.0	0.0	66217.44217	66939.94212	54833.51953
GTP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137116.4133	57188.12794	100477.2629	0.0	0.0	0.0	23152.09578	5494.922293	8320.431412
GTP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56768.55539	37504.76442	46485.11815	0.0	0.0	0.0	16468.52849	14545.72868	14827.56618
GTP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UDP_m+0	10945703.54	12075152.89	12487810.2	28256256.31	21474161.29	23918136.98	2352436.034	2339589.16	2207312.704	10793785.03	8036080.096	9778160.546	389536.5417	430767.243	363716.4793	3098565.702	2348316.809	2209327.359
