	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Arginine_C13-label-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Asparagine_PARENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.022	1.007	1.0042	1.0231	1.0089	0.9978	1.0121	1.0154	1.0198	1.0165	1.0213	1.0316	1.0156	1.0099	1.0087	1.0234	1.0097	1.0077	0.9997	1.0036	1.0051	1.0017	1.0061	1.0201	1.0057	1.0128	1.0342	1.0135	1.0128	0.9938	0.9953	1.0113	1.0162	1.0237	1.0133	1.0122
L-Asparagine_C13-label-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.022	-0.0065	-0.0036	-0.0231	-0.0085	-0.0027	-0.0117	-0.0152	-0.0197	-0.0224	-0.0213	-0.0319	-0.0154	-0.0095	-0.0083	-0.0235	-0.0092	-0.0072	-0.0107	-0.003	-0.0045	-0.001	-0.0055	-0.0201	-0.0051	-0.0125	-0.0346	-0.0132	-0.0125	0.0013	0.0009	-0.011	-0.016	-0.0238	-0.013	-0.0119
L-Asparagine_C13-label-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0005	-0.0006	0.0	-0.0005	0.0051	-0.0004	-0.0002	-0.0001	0.006	0.0	0.0003	-0.0002	-0.0004	-0.0005	0.0	-0.0004	-0.0005	0.0112	-0.0006	-0.0006	-0.0007	-0.0006	-0.0001	-0.0006	-0.0003	0.0004	-0.0003	-0.0003	0.005	0.0039	-0.0004	-0.0002	0.0	-0.0003	-0.0004
L-Asparagine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0001	0.0	0.0	0.0	-0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0001	-0.0001	0.0	0.0	0.0	0.0	0.0
L-Asparagine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine_PARENT	1.0034	1.0056	1.0038	1.005	1.0022	1.0029	1.0051	1.0052	1.0055	1.0052	1.005	1.0042	1.0046	1.0022	1.0063	1.0027	1.0046	1.0038	1.0049	1.0053	1.0055	1.0031	1.0054	1.0053	1.0033	1.004	1.0047	1.0061	1.0047	1.0065	1.0058	1.0047	1.0027	1.0034	1.004	1.004	1.0062	1.0033	1.0064	1.0045	1.0041	1.0045	1.0046	1.0096	1.0027	1.0047	1.0041	1.0049	1.0059	1.0068	1.0073	1.0041	1.007	1.009	1.0047	1.0047	1.004	1.0071	1.0082	1.0045	1.004	1.0078	1.0077	1.0022	1.0039	1.0045	1.0098	1.0069	1.0058	1.0107	1.0089	1.0068
L-Threonine_C13-label-1	-0.0029	-0.0053	-0.0034	-0.0045	-0.0018	-0.0024	-0.0047	-0.0048	-0.0051	-0.0049	-0.0047	-0.0038	-0.0042	-0.0017	-0.0058	-0.0021	-0.0042	-0.0034	-0.0045	-0.0049	-0.005	-0.0025	-0.0051	-0.0051	-0.0027	-0.0036	-0.0044	-0.0058	-0.0043	-0.0062	-0.0054	-0.0044	-0.0022	-0.0029	-0.0036	-0.0038	-0.006	-0.003	-0.0061	-0.0042	-0.0039	-0.004	-0.0042	-0.0094	-0.0024	-0.0044	-0.0038	-0.0046	-0.0057	-0.0067	-0.0071	-0.0038	-0.0069	-0.0089	-0.0042	-0.0044	-0.0036	-0.0069	-0.0081	-0.0042	-0.0038	-0.0077	-0.0073	-0.0018	-0.0037	-0.0041	-0.0097	-0.0067	-0.0056	-0.0107	-0.009	-0.0067
L-Threonine_C13-label-2	-0.0005	-0.0003	-0.0004	-0.0005	-0.0004	-0.0006	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0005	-0.0004	-0.0006	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0006	-0.0003	-0.0003	-0.0006	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0005	-0.0004	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0005	-0.0004	-0.0002	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0004	-0.0002	-0.0001	-0.0005	-0.0003	-0.0004	-0.0001	-0.0001	-0.0003	-0.0002	-0.0001	-0.0004	-0.0004	-0.0002	-0.0004	-0.0001	-0.0002	-0.0003	0.0	0.0001	-0.0001
L-Threonine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_PARENT	1.0615	1.042	1.0597	1.0648	1.0643	1.0559	1.0442	1.0515	1.0552	1.047	1.0546	1.0504	1.0405	1.0527	1.0553	1.0476	1.0498	1.0396	1.0453	1.0498	1.0538	1.0609	1.0499	1.0425	1.066	1.0482	1.0476	1.0585	1.0567	1.0546	1.0415	1.0322	1.0474	1.0367	1.0348	1.0411	1.0125	1.0086	1.0143	1.0115	1.0108	1.0117	1.0128	1.0089	1.01	1.011	1.0098	1.0093	1.0098	1.0086	1.0102	1.0116	1.0117	1.0108	1.0108	1.012	1.0095	1.0117	1.0107	1.0144	1.011	1.012	1.0131	1.012	1.0115	1.0133	1.0112	1.0091	1.0129	1.0137	1.014	1.0111
L-Lysine_C13-label-1	-0.0631	-0.0425	-0.0612	-0.0665	-0.066	-0.0571	-0.0447	-0.0524	-0.0564	-0.0477	-0.0557	-0.0513	-0.0408	-0.0538	-0.0565	-0.0484	-0.0507	-0.0399	-0.0459	-0.0506	-0.0549	-0.0624	-0.0508	-0.0429	-0.0678	-0.049	-0.0484	-0.0599	-0.058	-0.0558	-0.0419	-0.0321	-0.0481	-0.0369	-0.0348	-0.0415	-0.0113	-0.0071	-0.0132	-0.0102	-0.0095	-0.0104	-0.0116	-0.008	-0.0086	-0.0097	-0.0084	-0.0079	-0.0088	-0.0071	-0.0088	-0.0103	-0.0104	-0.0095	-0.0096	-0.0108	-0.0081	-0.011	-0.0093	-0.0133	-0.0097	-0.0107	-0.0119	-0.0107	-0.0102	-0.0121	-0.0099	-0.0076	-0.0117	-0.0126	-0.0128	-0.0097
L-Lysine_C13-label-2	0.0015	0.0004	0.0014	0.0017	0.0017	0.0012	0.0006	0.001	0.0012	0.0007	0.0011	0.0009	0.0003	0.001	0.0012	0.0007	0.0009	0.0003	0.0006	0.0009	0.0011	0.0015	0.0009	0.0005	0.0018	0.0008	0.0007	0.0014	0.0013	0.0011	0.0004	-0.0001	0.0007	0.0001	0.0	0.0004	-0.0012	-0.0015	-0.0011	-0.0013	-0.0013	-0.0013	-0.0012	-0.0009	-0.0014	-0.0013	-0.0014	-0.0014	-0.001	-0.0015	-0.0014	-0.0013	-0.0013	-0.0013	-0.0011	-0.0013	-0.0014	-0.0008	-0.0014	-0.0011	-0.0013	-0.0013	-0.0012	-0.0013	-0.0013	-0.0012	-0.0013	-0.0014	-0.0012	-0.0012	-0.0012	-0.0013
L-Lysine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_PARENT	1.0022	1.0022	1.003	1.0027	1.0019	1.0023	1.0021	1.0019	1.0019	1.0021	1.0024	1.0022	1.0017	1.0021	1.0017	1.0018	1.0024	1.0019	1.0015	1.0024	1.0017	1.0018	1.0027	1.002	1.0014	1.0022	1.0015	1.0026	1.002	1.002	1.0018	1.0014	1.002	1.0018	1.0015	1.0017	1.002	1.0017	1.0013	1.0018	1.0019	1.0017	1.0014	1.0013	1.001	1.0019	1.0016	1.0017	1.0016	1.0015	1.002	1.0016	1.002	1.0018	1.0021	1.0018	1.0022	1.0013	1.0013	1.0015	1.002	1.0019	1.0015	1.0017	1.0015	1.0016	1.0015	1.0022	1.0014	1.0015	1.0022	1.0015
Ile_Leu_C13-label-1	-0.0019	-0.0018	-0.0026	-0.0023	-0.0015	-0.0019	-0.0018	-0.0015	-0.0016	-0.0016	-0.0022	-0.0019	-0.0014	-0.0018	-0.0013	-0.0016	-0.0021	-0.0015	-0.0011	-0.002	-0.0014	-0.0014	-0.0022	-0.0016	-0.0009	-0.0019	-0.0011	-0.0021	-0.0016	-0.0016	-0.0015	-0.0011	-0.0017	-0.0015	-0.0013	-0.0014	-0.0018	-0.0014	-0.001	-0.0014	-0.0016	-0.0013	-0.0011	-0.0011	-0.0006	-0.0017	-0.0014	-0.0013	-0.0013	-0.0013	-0.0017	-0.0013	-0.0018	-0.0016	-0.0018	-0.0015	-0.0019	-0.001	-0.0011	-0.0012	-0.0017	-0.0016	-0.0012	-0.0015	-0.0012	-0.0014	-0.0012	-0.002	-0.0012	-0.0012	-0.0019	-0.0011
Ile_Leu_C13-label-2	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0002	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0005	-0.0003	-0.0005	-0.0003	-0.0004	-0.0005	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0004	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004
Ile_Leu_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid_PARENT	0.9863	0.9866	0.9869	0.771	0.7629	0.7576	0.745	0.7303	0.735	0.6772	0.6341	0.6655	0.6121	0.6262	0.6267	0.4493	0.4304	0.3981	0.982	0.9831	0.9825	0.7846	0.7674	0.7758	0.7523	0.7437	0.76	0.6773	0.6655	0.6504	0.6205	0.6181	0.6292	0.4258	0.3955	0.4233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid_C13-label-1	0.0004	-0.0007	-0.0006	0.0544	0.067	0.0629	0.0716	0.0701	0.0647	0.0811	0.091	0.079	0.0889	0.0856	0.0859	0.1239	0.1324	0.1413	0.0014	0.0021	-0.0004	0.0569	0.0628	0.0597	0.0635	0.063	0.0562	0.0679	0.082	0.0853	0.0847	0.0791	0.0691	0.126	0.1209	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid_C13-label-2	0.0117	0.0131	0.0132	0.1153	0.1154	0.1189	0.1214	0.1303	0.1226	0.1487	0.1674	0.1488	0.1692	0.1677	0.1683	0.1998	0.2102	0.2056	0.0159	0.0141	0.0168	0.105	0.1099	0.1076	0.1137	0.1193	0.1154	0.1551	0.1513	0.1533	0.1717	0.1738	0.1722	0.2047	0.214	0.2028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid_C13-label-3	0.0016	0.0008	0.0006	0.0501	0.0477	0.0522	0.055	0.0573	0.0632	0.076	0.0858	0.0844	0.0999	0.0952	0.0913	0.1527	0.1519	0.1672	0.0004	0.0008	0.001	0.0478	0.0524	0.0482	0.0589	0.0596	0.0583	0.0761	0.0819	0.0889	0.0962	0.0982	0.0983	0.1606	0.175	0.1656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid_C13-label-4	0.0	0.0001	0.0	0.0092	0.0071	0.0084	0.007	0.012	0.0146	0.017	0.0217	0.0223	0.0298	0.0253	0.0278	0.0743	0.0751	0.0878	0.0003	0.0	0.0	0.0056	0.0075	0.0088	0.0117	0.0143	0.0102	0.0236	0.0192	0.0221	0.027	0.0308	0.0312	0.083	0.0945	0.0922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine_PARENT	1.0286	1.0207	1.0277	1.0272	1.026	1.0272	1.0255	1.0264	1.0251	1.0246	1.0265	1.0255	1.0246	1.0247	1.0236	1.0218	1.0242	1.0252	1.0261	1.0249	1.0252	1.0298	1.0268	1.0249	1.0292	1.0285	1.0255	1.0272	1.0281	1.0275	1.0246	1.024	1.0253	1.0225	1.024	1.023	1.0261	1.0246	1.0235	1.0248	1.0252	1.025	1.025	1.0258	1.0232	1.0231	1.025	1.0265	1.0245	1.0244	1.0235	1.0243	1.0228	1.0243	1.0259	1.0273	1.0266	1.0259	1.026	1.0247	1.0255	1.0257	1.0271	1.028	1.0235	1.0263	1.0268	1.0269	1.0279	1.0269	1.0278	1.0273
L-Tyrosine_C13-label-1	-0.0289	-0.0207	-0.0276	-0.0275	-0.0264	-0.0277	-0.0259	-0.027	-0.0253	-0.0252	-0.0268	-0.0259	-0.0248	-0.0251	-0.0241	-0.0222	-0.0251	-0.0257	-0.0265	-0.0253	-0.0259	-0.0301	-0.0269	-0.0253	-0.0299	-0.0291	-0.0264	-0.0276	-0.0285	-0.028	-0.0247	-0.0243	-0.0261	-0.0229	-0.0243	-0.0235	-0.0269	-0.0254	-0.024	-0.0253	-0.0255	-0.0255	-0.0255	-0.0263	-0.0237	-0.0232	-0.0253	-0.0269	-0.0249	-0.0248	-0.0237	-0.0248	-0.0233	-0.0246	-0.0268	-0.0281	-0.0269	-0.0265	-0.0264	-0.025	-0.0258	-0.0263	-0.0282	-0.0284	-0.024	-0.027	-0.0277	-0.0276	-0.0286	-0.0278	-0.0283	-0.0284
L-Tyrosine_C13-label-2	0.0004	0.0	-0.0001	0.0004	0.0005	0.0005	0.0004	0.0006	0.0002	0.0006	0.0003	0.0004	0.0001	0.0005	0.0005	0.0004	0.0009	0.0005	0.0004	0.0004	0.0007	0.0003	0.0002	0.0004	0.0006	0.0005	0.0009	0.0004	0.0004	0.0004	0.0001	0.0003	0.0009	0.0004	0.0002	0.0006	0.0008	0.0007	0.0005	0.0005	0.0003	0.0005	0.0005	0.0005	0.0005	0.0001	0.0003	0.0004	0.0004	0.0004	0.0002	0.0005	0.0005	0.0004	0.0009	0.0008	0.0003	0.0006	0.0004	0.0003	0.0003	0.0006	0.0011	0.0005	0.0005	0.0007	0.0009	0.0007	0.0007	0.0009	0.0005	0.0011
