	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
P5P_label2	159834.243	152539.2479	181116.9336	9713.961507	16557.16712	15767.58031	3441.67697	6957.400491	5605.964765	21130.03229	20166.09172	23612.46148	32771.41607	34172.39543	38061.6692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P5P_label3	78941.88737	60842.88158	62660.46775	34910.23315	42947.91039	38394.35367	41336.54546	38500.19924	29139.84413	63872.53711	74777.15577	75387.40695	30911.03964	28860.15331	32239.86282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P5P_label4	30476.5428	27879.95502	35386.08093	32122.94274	41215.67497	37208.0987	30491.17475	36798.33038	30910.23725	51613.43058	49936.50355	59675.48413	56079.57678	58083.7789	50974.55691	96686.04899	62012.38259	74661.53951	63006.34279	79886.22957	77347.89541	65430.64491	35000.27788	47407.05481	0	0	0	30060.03533	17829.17	24617.76219	21850.24696	32278.21198	33416.44001	13577.23088	6222.281682	7550.476533
P5P_label5	718514.666	660639.8026	750158.7362	1327401.094	1729596.404	1593430.747	1315817.477	1593181.98	1231277.051	2123553.188	2218317.438	2335183.409	1042902.848	947448.0746	878846.6937	3849605.596	2643890.256	2978708.399	2773491.009	3362876.463	3097040.624	2729494.062	1497224.176	2221562.109	68413.78136	70147.13776	66643.65902	1012492.186	690303.6461	869508.1306	788308.7069	1122731.075	1177128.369	555472.5715	300397.3627	317011.0067
PEP_label0	30940.97892	28391.53104	43248.47781	20704.44837	20991.60522	18626.15102	4.03E-16	4.03E-16	11741.93701	49411.84694	19716.15001	31592.125	81230.16104	369330.7391	267479.6058	6729.125767	6656.833513	5964.690378	1.53E-16	0	9865.405206	6125.95483	2.3E-16	0	143642.6455	211891.0181	240493.4677	15457.92545	6.71E-17	0	5.75E-17	8296.437363	8678.592795	0	7910.093927	0
PEP_label1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEP_label2	0	0	0	0	5156.704798	0	0	0	5712.547464	8972.749124	8613.334458	12913.24805	5267.724159	11721.63835	10283.71608	11562.70376	0	10363.45293	0	7052.73947	8730.314848	6440.512077	0	8692.529616	5049.880203	8114.601378	5832.001806	0	0	0	0	0	0	0	0	0
PEP_label3	63527.68454	46445.44024	75202.09267	351855.9546	363001.253	203182.8958	222878.9184	224665.6206	324979.4799	660906.3056	723079.4535	1052147.653	295595.6177	622583.5726	558528.1901	883254.6337	294039.6739	765016.7356	478676.8099	752250.1478	630206.9858	678795.9467	290087.3463	714802.8277	300870.644	450813.9497	505843.7625	338967.4964	72035.56932	40410.94023	82991.30241	210150.2746	371674.0856	19768.4387	22389.35253	20345.05623
PRPP_label0	65333.31523	47954.03641	62064.30746	240307.9724	94419.96817	87508.32062	65265.77825	45823.842	48902.2212	143692.5535	85525.78342	135432.3449	1.99E-11	1.13E-11	1.71E-11	20625.63365	5677.690959	0	7109.901291	6647.371359	8210.178378	10517.38651	6923.801013	0	0	0	0	9.84E-13	8.53E-12	0	2.74E-12	7669.290433	7190.435914	2.85E-12	2.48E-13	4.19E-13
PRPP_label1	0	0	0	0	0	0	0	0	0	0	0	0	1.84E-10	1.02E-10	1.6E-10	0	0	6.78E-10	0	0	0	0	0	5.3E-10	0	0	0	1.01E-11	7.81E-11	2.36E-11	2.64E-11	0	0	2.75E-11	2.55E-12	4.16E-12
PRPP_label2	44911.41517	31892.45281	51472.66584	33935.7888	16453.46077	13172.33508	10351.56101	7048.536267	5723.39507	23338.64935	13015.02218	23146.14734	3.16E-10	1.77E-10	2.73E-10	0	0	0	0	0	0	0	0	0	0	0	0	1.66E-11	1.35E-10	0	4.45E-11	0	0	4.63E-11	4.17E-12	6.92E-12
PRPP_label3	14089.30706	9714.823207	17429.37379	66922.46682	27652.89975	31140.17476	21670.93897	15606.34247	16146.80599	56120.74817	31840.91956	53695.83213	0	0	0	6789.716404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPP_label4	5435.268857	0	4129.122336	74345.38084	31288.76268	31080.73376	27789.80962	16951.09016	15419.62881	49807.3839	30631.79575	48521.78878	2.16E-10	1.21E-10	1.87E-10	120553.9119	28695.31664	26595.75035	34886.26551	24233.49327	44925.06816	45081.21354	20112.32142	34254.53051	0	0	0	1.16E-11	9.2E-11	6592.646129	3.06E-11	22495.63139	17814.47319	3.17E-11	2.88E-12	4.78E-12
PRPP_label5	104704.8269	74941.47732	127349.737	2849862.695	1233360.694	1216406.7	1055335.473	687645.9689	715267.9066	1916533.79	1145689.771	1927864.794	63172.72389	69121.87812	65560.88141	4537619.937	1093528.098	1131756.506	1334222.619	1066549.335	1809653.446	1877112.769	832233.2364	1491163.139	0	0	0	152387.2436	74274.28912	191503.9748	104256.2858	726790.7391	495724.181	102830.6438	37976.36694	30914.466
